x, y
900,135.92
900.1,135.46
900.2,135.78
900.3,136.34
900.4,135.82
900.51,135.26
900.61,135.36
900.71,135.72
900.81,135.73
900.91,135.4
901.01,135.94
901.11,136.5
901.21,135.76
901.31,135.79
901.41,134.81
901.52,135.54
901.62,135.25
901.72,135.76
901.82,136.24
901.92,136.75
902.02,136.9
902.12,135.96
902.22,135.87
902.32,136.46
902.42,136.31
902.53,136.46
902.63,136.48
902.73,135.37
902.83,136.39
902.93,136.09
903.03,135.77
903.13,135.82
903.23,136.83
903.33,135.8
903.43,135.6
903.54,136.34
903.64,137.25
903.74,136.27
903.84,136.43
903.94,135.82
904.04,137.14
904.14,136.38
904.24,136.6
904.34,135.88
904.44,136.79
904.55,136.58
904.65,135.82
904.75,136.43
904.85,136.2
904.95,136.5
905.05,136.33
905.15,136.38
905.25,135.97
905.35,136.34
905.45,136.9
905.56,137.41
905.66,135.97
905.76,137.75
905.86,137.34
905.96,136.68
906.06,136.46
906.16,136.27
906.26,137.06
906.36,136.31
906.46,136.44
906.57,137.13
906.67,136.92
906.77,137.16
906.87,136.98
906.97,136.55
907.07,136.5
907.17,137.17
907.27,136.46
907.37,137.4
907.47,137.22
907.58,136.98
907.68,136.85
907.78,137.05
907.88,138.65
907.98,136.84
908.08,136.13
908.18,137.88
908.28,137.25
908.38,136.63
908.48,138.28
908.59,137.26
908.69,137.15
908.79,136.63
908.89,136.5
908.99,136.16
909.09,136.85
909.19,136.55
909.29,137.42
909.39,136.95
909.49,138.01
909.6,137.89
909.7,137.24
909.8,137.03
909.9,137.76
910,136.63
