x, y, sigmaQuadrat
1,1.2727,0.04872
1.0404,3.1605,0.15666
1.0808,1.882,0.10571
1.1212,2.7057,0.158758
1.1616,2.9672,0.130222
1.202,3.1646,0.121946
1.2424,2.305,0.08782
1.2828,2.6364,0.28614
1.3232,2.6037,0.053556
1.3636,2.4426,0.034204
1.404,2.9419,0.059786
1.4444,3.046,0.041891
1.4848,2.7511,0.068968
1.5253,3.0541,0.067119
1.5657,4.3853,0.1509
1.6061,3.1053,0.099132
1.6465,3.5248,0.083683
1.6869,2.999,0.047451
1.7273,3.027,0.12522
1.7677,3.1786,0.089262
1.8081,3.6944,0.089527
1.8485,3.072,0.131333
1.8889,2.6069,0.066703
1.9293,3.6205,0.082812
1.9697,3.4363,0.165093
2.0101,3.8552,0.023589
2.0505,3.8181,0.065282
2.0909,4.2009,0.19645
2.1313,4.3473,0.088458
2.1717,3.2948,0.184537
2.2121,3.2559,0.057451
2.2525,4.33,0.049975
2.2929,4.2926,0.04841
2.3333,3.7304,0.023845
2.3737,4.8793,0.077825
2.4141,4.3377,0.092427
2.4545,4.4436,0.058814
2.4949,4.5794,0.13779
2.5354,4.8801,0.18512
2.5758,5.3259,0.18977
2.6162,4.4933,0.17787
2.6566,3.8195,0.092264
2.697,5.2522,0.19979
2.7374,4.3422,0.03571
2.7778,5.4885,0.03364
2.8182,4.6325,0.025043
2.8586,5.7336,0.028616
2.899,4.6455,0.068617
2.9394,4.5528,0.081331
2.9798,5.6482,0.07934
3.0202,4.5488,0.038195
3.0606,5.6312,0.13712
3.101,5.5704,0.10307
3.1414,5.3405,0.020413
3.1818,5.302,0.041103
3.2222,6.5622,0.066356
3.2626,5.4067,0.022578
3.303,5.5594,0.021284
3.3434,5.2458,0.144035
3.3838,5.369,0.045818
3.4242,5.5446,0.044142
3.4646,6.7517,0.10549
3.5051,5.7624,0.015558
3.5455,5.6731,0.012915
3.5859,5.8547,0.050943
3.6263,6.4966,0.130124
3.6667,5.5421,0.045736
3.7071,6.5742,0.059634
3.7475,5.6556,0.011353
3.7879,6.3164,0.080702
3.8283,5.529,0.089803
3.8687,6.771,0.062921
3.9091,6.9101,0.191861
3.9495,6.2805,0.092124
3.9899,6.8436,0.092695
4.0303,6.8269,0.096122
4.0707,7.3856,0.17848
4.1111,6.9309,0.020019
4.1515,7.447,0.094041
4.1919,6.9295,0.034916
4.2323,6.7243,0.18593
4.2727,7.0901,0.092707
4.3131,7.07,0.1227
4.3535,7.6711,0.032724
4.3939,7.2628,0.089165
4.4343,6.9309,0.028819
4.4747,7.3347,0.22652
4.5152,8.067,0.14789
4.5556,7.3259,0.15519
4.596,7.2646,0.044408
4.6364,8.1465,0.091182
4.6768,7.7658,0.049435
4.7172,7.5944,0.1078
4.7576,7.4669,0.030818
4.798,7.157,0.029964
4.8384,8.0343,0.019722
4.8788,7.8597,0.014642
4.9192,8.2382,0.010307
4.9596,7.4111,0.2799
5,8.8609,0.039328
